ui,name,mesh_number
D003655,decerebrate state,"C10.597.305, C23.888.592.298"
D003656,decidua,"A05.360.319.679.490.373, A16.710.289"
D003657,decision making,F02.463.785.373
D003658,"decision making, computer-assisted",L01.313.500.750.100
D003659,"decision making, organizational",N04.452.190
D003660,"decision support systems, management",N04.452.515.135
D003661,decision support techniques,"E05.245, L01.313.500.750.190"
D003662,decision theory,G17.162
D003663,decision trees,G17.162.500
D003664,decompression,"E02.278, G01.374.715.250"
D003665,decompression sickness,C26.120.248
D003666,decontamination,N06.850.780.325
D003667,decoquinate,D03.633.100.810.350.250
D003668,pressure ulcer,C17.800.893.665
D003669,deductibles and coinsurance,"N03.219.151.170.300, N03.219.521.576.090.300"
D003670,deer,B01.050.150.900.649.313.500.380.373
D003671,deet,"D02.065.277.194, D02.241.223.100.100.230, D02.455.426.559.389.127.085.230"
D003672,defecation,G10.261.165
D003673,defective viruses,B04.265
D003674,defense mechanisms,F01.393
D003675,defensive medicine,"I01.880.604.583.524.300, N03.706.535.606.300"
D003676,deferoxamine,"D02.092.570.394.265, D02.241.511.372.265"
D003677,deficiency diseases,C18.654.521.500
D003678,"defoliants, chemical","D27.720.031.700.366.181, D27.888.723.366.181"
D003679,deglutition,G10.261.178
D003680,deglutition disorders,"C06.405.117.119, C09.775.174"
D003681,dehydration,"C18.452.950.179, C23.550.274"
D003682,dehydroascorbatase,D08.811.277.352.100.220
D003683,dehydroascorbic acid,"D02.241.081.844.107.260, D02.241.511.902.107.260, D02.540.260, D09.811.100.260"
D003684,dehydrocholesterols,"D04.210.500.247.222.222.347.200, D04.210.500.247.808.197.250, D10.570.938.208.320"
D003685,dehydrocholic acid,"D04.210.500.105.225.261, D04.210.500.221.430.265"
D003687,dehydroepiandrosterone,"D04.210.500.054.079.429.625, D04.210.500.578.502.400, D06.472.040.502.400, D06.472.334.851.968.952"
D003688,deinstitutionalization,"E02.760.415.280, N02.421.585.415.280"
D003689,"vestibular nucleus, lateral",A08.186.211.132.810.428.600.800.800
D003690,deja vu,F02.463.425.540.203
D003691,delaware,Z01.107.567.875.500.200
D003692,delayed-action preparations,"D26.255.210, E02.319.300.253"
D003693,delirium,"C10.597.606.337.500, C23.888.592.604.339.500, F01.700.250.500, F03.615.350"
D003695,delivery of health care,"N04.590.374, N05.300"
D003696,delivery rooms,N02.278.388.150
D003697,delphi technique,L01.906.197
D003698,hepatitis delta virus,"B04.265.270, B04.450.411, B04.820.480.875"
D003699,hepatitis d,"C01.925.440.450, C01.925.782.450, C06.552.380.705.450"
D003700,delta rhythm,"E01.370.376.300.150.875, E01.370.405.245.287.875, G07.265.087.875, G11.561.127.875"
D003701,delta sleep-inducing peptide,"D12.644.400.200, D12.644.456.300, D12.776.631.650.200"
D003702,delusions,F01.145.126.200
D003703,demecolcine,D03.132.225.374
D003704,dementia,"C10.228.140.380, F03.615.400"
D003707,demeclocycline,"D02.455.426.559.847.562.900.185, D04.615.562.900.185"
D003708,nordazepam,D03.633.100.079.080.070.216.500
D003709,democracy,I01.696.374
D003710,demography,"I01.240, N01.224, N06.850.505.400"
D003711,demyelinating diseases,C10.314
D003712,dendrites,"A08.675.256, A11.284.180.225, A11.671.240"
D003713,dendritic cells,"A11.066.270, A11.436.270, A15.382.066.270, A15.382.670.260"
D003714,denervation,E04.525.210
D003715,dengue,"C01.920.500.270, C01.925.081.270, C01.925.782.350.250.214, C01.925.782.417.214"
D003716,dengue virus,B04.820.578.344.350.270
D003717,"denial, psychological",F01.393.200
D003718,denmark,Z01.542.816.124
D003719,dens in dente,"C07.650.800.250, C07.793.700.250, C16.131.850.800.250"
D003720,densitometry,E05.196.712.224
D003722,dental alloys,"D25.339.208, J01.637.051.339.208"
D003723,dental amalgam,"D25.339.208.291, J01.637.051.339.208.291"
D003724,dental arch,"A02.835.232.781.324.502.320, A14.521.320"
D003725,dental articulators,"E06.186.210, E07.222.210"
D003726,dental assistants,"M01.526.485.067.105.250, N02.360.067.105.250"
D003727,dental auxiliaries,"M01.526.485.067.105, N02.360.067.105"
D003728,dental calculus,"C07.793.208.250, C23.300.175.350"
D003729,dental care,"E06.170, N02.421.240.190"
D003730,dental care for disabled,"E06.170.310, N02.421.240.190.230"
D003731,dental caries,C07.793.720.210
D003732,dental caries activity tests,E06.342.250
D003733,dental caries susceptibility,G10.549.140
D003734,dental casting investment,"D25.339.250, J01.637.051.339.250"
D003735,dental casting technique,"E06.780.250, E06.912.115"
D003736,dental cavity lining,E06.323.225
D003737,dental cavity preparation,E06.931.325
D003738,dental cements,"D25.339.291, J01.637.051.339.291"
D003739,dental cementum,"A14.549.167.646.267, A14.549.167.900.250"
D003740,dental clinics,N02.278.192.250
D003741,dental deposits,C07.793.208
D003742,"dental devices, home care","E06.186.250, E06.761.726.292, E07.222.250"
D003743,dental enamel,A14.549.167.900.255
D003744,dental enamel hypoplasia,"C07.650.800.255, C07.793.700.255, C16.131.850.800.255"
D003745,dental enamel permeability,G10.549.845.292
D003746,dental enamel proteins,D12.776.231
D003747,dental enamel solubility,G10.549.181
D003748,dental equipment,"E06.186, E07.222"
D003749,dental facilities,N02.278.192
D003750,dental fissures,C07.793.720.210.220
D003751,dental fistula,"C07.465.614.187, C23.300.575.500.275"
D003752,dental health services,N02.421.240
D003753,dental health surveys,"E05.318.308.980.438.300, E06.208, N05.715.360.300.800.438.300, N06.850.520.308.980.438.300, N06.890.160"
D003754,dental high-speed equipment,"E06.186.376, E07.222.376"
D003755,dental high-speed technique,E06.216
D003756,dental hygienists,"M01.526.485.067.105.376, N02.360.067.105.376"
D003757,dental implantation,"E04.545.550.280, E04.650.230, E06.645.550.280, E06.780.314"
D003758,"dental implantation, endosseous","E04.545.550.280.280, E04.650.230.500, E06.645.550.280.280, E06.780.314.310"
D003759,"dental implantation, endosseous, endodontic","E04.545.550.280.280.280, E04.650.230.500.280, E06.397.345, E06.645.550.280.280.280, E06.780.314.310.360"
D003760,dental impression materials,"D25.339.334, J01.637.051.339.334"
D003761,dental impression technique,E06.912.130
D003762,dental instruments,"E06.186.501, E07.222.501"
D003763,dental leakage,C07.793.221
D003764,dental materials,"D25.339, D27.720.102.339, J01.637.051.339"
D003765,dental models,"E06.261, J01.897.280.500.545.129.200, L01.178.820.090.545.129.200"
D003766,dental occlusion,"E06.276, G10.549.208"
D003767,"dental occlusion, balanced",E06.276.293
D003768,"dental occlusion, centric",E06.276.459
D003769,"dental occlusion, traumatic",C07.793.494.293
D003770,dental offices,N02.278.192.377
D003771,dental papilla,A14.549.167.900.720.250
D003772,dental pins,E06.292
D003773,dental plaque,C07.793.208.377
D003774,dental plaque index,"E05.318.308.980.438.300.300, E06.208.250, N05.715.360.300.800.438.300.325, N06.850.520.308.980.438.300.300, N06.890.160.090"
D003775,dental polishing,E06.298
D003776,dental porcelain,"D25.339.376, J01.637.051.339.376, J01.637.153.377"
D003777,dental prophylaxis,"E06.721.189, E06.761.227"
D003778,dentures,"E06.780.346.760, E07.695.190.200"
D003779,denture design,"E06.780.346.760.300, E06.912.250"
D003780,denture repair,"E06.780.346.760.500, E06.912.285"
D003781,denture retention,E06.780.346.760.550
D003782,dental pulp,A14.549.167.900.260
D003784,dental pulp calcification,C07.793.237.252
D003785,dental pulp capping,E06.397.370
D003786,dental pulp cavity,A14.549.167.900.265
D003787,dental pulp devitalization,E06.397.778.377
D003788,dental pulp diseases,C07.793.237
D003789,dental pulp exposure,C07.793.237.283
D003790,dental pulp necrosis,"C07.793.237.315, C23.550.717.182"
D003791,dental pulp test,E06.342.377
D003792,dental records,"E05.318.308.940.375, L01.399.250.900.375, N04.452.859.341, N05.715.360.300.715.330, N06.850.520.308.940.375"
D003793,"dental restoration, permanent","E06.323.428, E06.780.346.737, E07.695.190.190"
D003794,"dental restoration, temporary","E06.323.528, E06.780.346.740, E07.695.190.192"
D003795,dental sac,A14.549.167.900.720.255
D003796,"dental service, hospital","N02.278.216.500.968.298, N02.421.240.200, N04.452.442.452.422.298"
D003797,dental staff,"M01.526.485.290, N02.360.290"
D003798,"dental staff, hospital","M01.526.485.290.490, M01.526.485.740.322, N02.360.290.490, N02.360.740.322"
D003799,dental stress analysis,E06.308
D003800,dental technicians,"M01.526.485.067.105.503, N02.360.067.105.503"
D003801,dental veneers,"E06.780.346.750, E07.695.190.196"
D003802,dentifrices,"D25.376, D27.720.269.380, J01.637.051.376"
D003803,dentigerous cyst,"C04.182.089.530.690.310, C05.500.470.690.310, C07.320.450.670.275"
D003804,dentin,A14.549.167.900.280
D003805,dentin dysplasia,"C07.650.800.260, C07.793.700.260, C16.131.850.800.260"
D003806,dentin permeability,G10.549.845.461
D003807,dentin sensitivity,C07.793.266
D003808,dentin solubility,G10.549.245
D003809,"dentin, secondary","A14.549.167.900.280.280, C07.793.237.378"
D003810,dentinogenesis,G07.345.500.325.377.186
D003811,dentinogenesis imperfecta,"C07.650.800.270, C07.793.700.270, C16.131.850.800.270"
D003812,dentist-patient relations,"F01.829.401.650.410, N05.300.660.325"
D003813,dentistry,"E06, H02.163"
D003814,"dentistry, operative","E06.323, H02.163.180"
D003815,dentists,"M01.526.485.330, N02.360.330"
D003816,"dentists, women","M01.526.485.330.310, M01.975.310, N02.360.330.310"
D003817,dentition,"A03.556.500.379, A14.549.167"
D003818,"dentition, mixed",A14.549.167.229
D003819,denture bases,"E06.780.346.760.281, E07.695.190.200.200"
D003820,denture cleansers,"D25.376.262, J01.637.051.376.262"
D003821,denture identification marking,E06.912.275
D003822,denture liners,"E06.780.346.760.357, E07.695.190.200.210"
D003823,denture rebasing,"E06.780.346.760.471, E06.912.280"
D003824,"denture, complete","E06.780.346.760.775, E07.695.190.200.205"
D003825,"denture, complete, immediate","E06.780.346.760.775.254, E07.695.190.200.205.205"
D003826,"denture, complete, lower","E06.780.346.760.775.379, E07.695.190.200.205.210"
D003827,"denture, complete, upper","E06.780.346.760.775.504, E07.695.190.200.205.215"
D003828,"denture, overlay","E06.780.346.760.887, E07.695.190.200.215"
D003829,"denture, partial","E06.780.346.760.943, E07.695.190.200.220"
D003830,"denture, partial, fixed","E06.780.346.760.943.271, E07.695.190.200.220.220"
D003831,"denture, partial, immediate","E06.780.346.760.943.342, E07.695.190.200.220.225"
D003832,"denture, partial, removable","E06.780.346.760.943.413, E07.695.190.200.220.230"
D003833,"denture, partial, temporary","E06.780.346.760.943.484, E07.695.190.200.220.235"
D003834,denture precision attachment,"E06.780.346.760.943.555, E07.695.190.200.220.245"
D003835,denturists,"M01.526.485.067.105.751, N02.360.067.105.751"
D003836,deodorants,D27.720.269.385
D003837,deoxy sugars,D09.254
D003838,deoxyadenine nucleotides,"D03.633.100.759.646.138.410, D13.695.201.100, D13.695.667.138.410"
D003839,deoxyadenosines,"D03.633.100.759.590.138.325, D13.570.230.229, D13.570.583.138.325"
D003840,deoxycholic acid,"D04.210.500.105.225.272, D04.210.500.221.430.342"
D003841,deoxycytidine,"D03.383.742.680.245.500, D13.570.230.329, D13.570.685.245.500"
D003842,deoxycytidine kinase,D08.811.913.696.620.175
D003843,deoxycytidine monophosphate,"D03.383.742.686.246.425.300, D13.695.201.150.200, D13.695.740.246.425.300"
D003844,dcmp deaminase,D08.811.277.151.653.200
D003845,deoxycytosine nucleotides,"D03.383.742.686.246.425, D13.695.201.150, D13.695.740.246.425"
D003846,deoxyepinephrine,"D02.092.311.342.300, D02.092.311.461.200, D02.455.426.559.389.657.166.175.342.300, D02.455.426.559.389.657.166.175.461.200"
D003847,deoxyglucose,D09.254.229
D003848,deoxyguanine nucleotides,"D03.633.100.759.646.454.200, D13.695.201.175, D13.695.667.454.200"
D003849,deoxyguanosine,"D03.633.100.759.590.454.240, D13.570.230.360, D13.570.583.454.240"
D003850,deoxyribonuclease i,D08.811.277.352.335.350.250
D003851,deoxyribonucleases,D08.811.277.352.335
D003852,deoxyribonucleoproteins,D12.776.664.275
D003853,deoxyribonucleosides,D13.570.230
D003854,deoxyribonucleotides,D13.695.201
D003855,deoxyribose,D09.254.330
D003856,deoxyuracil nucleotides,"D03.383.742.686.850.210, D13.695.201.200, D13.695.740.850.210"
D003857,deoxyuridine,"D03.383.742.680.852.300, D13.570.230.430, D13.570.685.852.300"
D003858,"dependency, psychological",F01.752.330
D003859,dependent personality disorder,F03.675.200
D003861,depersonalization,F01.145.126.300
D003862,depreciation,N03.219.463.030.120
D003863,depression,F01.145.126.350
D003864,"depression, chemical",G07.690.773.750
D003865,"depressive disorder, major",F03.600.300.375
D003866,depressive disorder,F03.600.300
D003867,depth perception,"F02.463.593.200, F02.463.593.778.255"
D003868,dequalinium,D03.633.100.810.824.200
D003869,dermabrasion,"E02.218.210, E04.680.275.250"
D003870,dermacentor,B01.050.500.131.166.132.832.400.200
D003871,dermatan sulfate,D09.698.373.200.380
D003872,dermatitis,C17.800.174
D003873,"dermatitis, exfoliative","C17.800.174.318, C17.800.815.318"
D003874,dermatitis herpetiformis,"C17.800.174.360, C17.800.865.360, C20.111.318"
D003875,drug eruptions,"C17.800.174.600, C20.543.206.380, C25.100.468.380"
D003876,"dermatitis, atopic","C16.320.850.210, C17.800.174.193, C17.800.815.193, C17.800.827.210, C20.543.480.343"
D003877,"dermatitis, contact","C17.800.174.255, C17.800.815.255"
D003878,dermatoglyphics,"E05.318.740.225.500.375, I01.198.780.937.343, N04.452.910.099.500"
D003879,dermatologic agents,D27.505.954.444
D003880,dermatology,H02.403.225
D003881,dermatomycoses,"C01.150.703.302, C01.800.200, C17.800.838.208"
D003882,dermatomyositis,"C05.651.594.819.500, C10.668.491.562.575.500, C17.300.250, C17.800.185"
D003883,arthrodermataceae,B01.300.107.650.080
D003884,dermoid cyst,"C04.182.201, C04.557.465.910.250"
D003885,dermotoxins,D27.888.569.242
D003886,descemet membrane,"A09.371.060.217.271, A10.615.179.437"
D003887,"desensitization, psychologic",F04.754.137.506
D003888,"desensitization, immunologic","E02.095.465.425.450.310, E05.478.610.310"
D003889,desert climate,"G16.500.275.071.325, N06.230.300.100.250.325"
D003890,desiccation,"E05.196.335, G02.176"
D003891,desipramine,D03.633.300.240.281
D003892,deslanoside,"D04.210.500.155.580.130.500.657.200, D09.408.180.261.657.200"
D003893,desmin,"D05.750.078.593.200, D12.776.220.475.200"
D003894,deamino arginine vasopressin,"D06.472.699.631.692.781.100.250, D12.644.400.900.100.250, D12.644.456.925.100.250, D12.644.548.691.692.781.100.250, D12.776.631.650.937.100.250"
D003895,desmosine,"D03.383.725.762.300, D12.125.072.200"
D003896,desmosomes,A11.284.149.165.420.297
D003897,desmosterol,"D04.210.500.247.222.222.347.231, D04.210.500.247.808.197.250.281, D10.570.938.208.320.297"
D003898,desonide,D04.210.500.745.432.769.325
D003899,desoximetasone,"D04.210.500.745.432.719.260, D04.210.500.908.238.250"
D003900,desoxycorticosterone,"D04.210.500.745.745.654.339, D06.472.040.585.611"
D003901,desulfovibrio,"B03.440.425.410.350, B03.660.125.144.500.875, B03.900.350"
D003902,detergents,"D27.720.877.265, J01.516.381"
D003903,deuterium,"D01.268.406.500, D01.362.340.500, D01.496.289"
D003904,mitosporic fungi,B01.300.381
D003905,deuteroporphyrins,"D03.383.129.578.840.500.280, D03.633.400.909.500.280, D04.345.783.500.280, D23.767.727.280"
D003906,developing countries,I01.615.500.300
D003907,dexamethasone,"D04.210.500.745.432.769.344, D04.210.500.908.238"
D003908,dexamethasone isonicotinate,"D04.210.500.745.432.769.344.300, D04.210.500.908.238.300"
D003909,dexetimide,D03.383.621.808.250
D003910,dextranase,D08.811.277.450.283
D003911,dextrans,"D05.750.078.562.272, D09.698.365.272"
D003912,dextrins,"D05.750.078.562.855.375, D09.301.915.400, D09.698.365.855.400"
D003913,dextroamphetamine,D02.092.471.683.152.110.200
D003914,dextrocardia,"C14.240.400.280, C14.280.400.280, C16.131.240.400.280, C16.131.810.250"
D003915,dextromethorphan,"D03.132.577.249.200, D03.605.497.212, D03.633.400.686.212, D04.615.723.795.200"
D003916,dextromoramide,D03.383.533.640.250
D003917,dextrorphan,"D03.132.577.249.235, D03.605.497.260, D03.633.400.686.260, D04.615.723.795.235"
D003918,dextrothyroxine,"D06.472.931.103, D12.125.072.050.342"
D003919,diabetes insipidus,"C12.777.419.135, C13.351.968.419.135, C19.700.159"
D003920,diabetes mellitus,"C18.452.394.750, C19.246"
D003921,"diabetes mellitus, experimental","C18.452.394.750.074, C19.246.240, E05.598.500.374"
D003922,"diabetes mellitus, type 1","C18.452.394.750.124, C19.246.267, C20.111.327"
D003923,"diabetes mellitus, lipoatrophic","C18.452.394.750.149.500, C19.246.300.500"
D003924,"diabetes mellitus, type 2","C18.452.394.750.149, C19.246.300"
D003925,diabetic angiopathies,"C14.907.320, C19.246.099.500"
D003926,diabetic coma,C19.246.099.750
D003927,"diet, diabetic","E02.642.249.240, G07.203.650.240.240"
D003928,diabetic nephropathies,"C12.777.419.192, C13.351.968.419.192, C19.246.099.875"
D003929,diabetic neuropathies,"C10.668.829.300, C19.246.099.937"
D003930,diabetic retinopathy,"C11.768.257, C14.907.320.382, C19.246.099.500.382"
D003931,diacetyl,D02.522.296.400
D003932,heroin,"D03.132.577.249.562.445, D03.605.497.607.490, D03.633.400.686.607.490, D04.615.723.795.576.445"
D003933,diagnosis,E01
D003935,"diagnostic techniques, cardiovascular",E01.370.370
D003936,"diagnosis, computer-assisted","E01.158, L01.313.500.750.100.158"
D003937,"diagnosis, differential",E01.171
D003938,"diagnostic techniques, digestive system",E01.370.372
D003939,"diagnostic techniques, otological",E01.370.382
D003940,"diagnostic techniques, endocrine",E01.370.374
D003941,"diagnostic techniques, ophthalmological",E01.370.380
D003943,"diagnostic techniques, neurological",E01.370.376
D003944,"diagnostic techniques, obstetrical and gynecological",E01.370.378
D003945,"diagnosis, oral",E06.342
D003947,"diagnostic techniques, radioisotope",E01.370.384
D003948,"diagnostic techniques, respiratory system",E01.370.386
D003949,"diagnostic techniques, surgical",E01.370.388
